Id,Title,Text
S500020,"Канада, Манітоба, Індекс одружень, 1900-1940","Записи про реєстрацію шлюбів є важливими генеалогічними даними, оскільки в них міститься не лише інформація
про наречених та їхнє громадянство на час події, а й часто додаткова інформація, наприклад, дати й місця народ
жень, заняття та попередній сімейний стан. Часто у свідоцтві про шлюб також вказано інформацію про імена, дат?
? й місця народження батьків наречених."
S500021,"Канада, Манітоба, Індекс народжень, 1880-1919","Записи реєстрації народжень є одним з ключових первинних джерел для інформації про родину, які зазвичай вида
ються протягом декількох днів після народження і, як мінімум, містять імена батьків. У багатьох випадках в ни?
? також вказано додаткові дані про батьків, наприклад, місце народження, їх вік, кількість дітей та, у випадках
записів про хрещення, - віросповідання."
S500022,BillionGraves,"<A href=""http://www.billiongraves.com/"" target=""_blank"">www.billiongraves.com"
S500023,Індекс некрологів з різних країн,"Некрологи можуть бути хорошим джерелом інформації про людину, а також можуть містити інформацію про членів с
ім'ї померлого, навіть якщо ця інформація міститься лише в тексті некролога. Кількість доступної інформації ?
?ля кожного некролога може значно відрізнятися."
S500024,Ponty Web Site,<p>Родинне дерево MyHeritage</p><p>Сімейний сайт: Ponty Web Site</p>Родинне дерево: 276295751-1
S500025,Interment.net,"<a href='http://www.interment.net' target='_blank'>Interment.net</a> by Clear Digital Media, Inc."
S500026,"1906 Canada Census of Alberta, Saskatchewan, and Manitoba","The 1906 census was the first regularly scheduled census of the Prairie Provinces. The same census was thereafter conducted every 10 years until 1956. The purpose of this special census was to measure
the high population growth occurring in this part of the country during the first half of the 20th century. Note: records for some sub-districts have not survived; in some instances, this may account
for negative search results."
S500027,Канадський Перепис 1881 року,"У 1881 році Канада складалася з наступних провінцій і територій: Британська Колумбія, Манітоба, Нью-Брансвік, Н?
?ва Шотландія, Онтаріо, Острів Принца Едварда, Квебек і Північно-західні території."
S500028,Сохацький Web Site,<p>Родинне дерево MyHeritage</p><p>Сімейний сайт: Сохацький Web Site</p>Родинне дерево: 127357592-1
S500029,"Canadian Obituaries, 1997-2017","This collection includes the name of the deceased, the date of death, the publication source including locality information, and the text of the obituary or memorial—in English or French depending o
n the source. When available, we include a photograph of the deceased.
These records are provided by the <a href=""https://www.genealogiequebec.com/en"">Drouin Genealogical Institute</a>."
S500030,Міжнародні телефонні довідники,""
S500031,U.S. Public Records Index,Birth information may be included for those residents born primarily between 1900 and 1990. The original sources are not available.
S500032,WikiTree,<a href='http://www.wikitree.com' target='wikitree'>www.wikitree.com</a>
S500033,Graczyk Web Site,<p>Родинне дерево MyHeritage</p><p>Сімейний сайт: Graczyk Web Site</p>Родинне дерево: 239757651-1
S500034,Оскерко Web Site,<p>Родинне дерево MyHeritage</p><p>Сімейний сайт: Оскерко Web Site</p>Родинне дерево: 335514681-1
S500035,"Канада, Манітоба, Індекс реєстрації смерті, 1880-1949","Свідоцтва про смерть є одними з ключових первинних джерел для інформації про родину, які зазвичай видаються ?
?ерез декілька днів після смерті та містять багато даних про життя особи. Часто в них вказується вік, місце на?
?одження, імена батьків та місця їх народження, а також причина смерті."
S500036,The Salyn Family,<p>Родинне дерево MyHeritage</p><p>Сімейний сайт: The Salyn Family</p>Родинне дерево: 190933711-1
S500037,Федеральний перепис США 1920 року,"Federal census takers were asked to record information about every person who was in each household on the census day. A census taker might have visited a house on a later date, but the information he
collected was supposed to be about the people who were in the house on the census day. The basic census enumeration unit was the county. Each county was divided into enumeration districts, one for ea
ch enumerator. The completed forms were sent to the Commerce Department's Census Office in Washington, D.C.
Federal censuses are usually reliable, depending on the knowledge of the informant and the care of the census enumerator. Information may have been given to a census taker by any member of the family
or by a neighbor. Some information may have been incorrect or deliberately falsified."
S500038,1911 Canada Census,"Онтаріо, Острів Принца Едуарда, Квебек, Саскачеван та Юкон. Форми були надруковані колонками із заголовками а
нглійською та французькою мовою; відповіді були записані мовою місцевого спілкування. Канадський Перепис 1911
був офіційно проведений 1 червня 1911 року в дев'яти провінціях. Особи повинні були бути перераховані в їх звич?
?йному місці проживання, навіть, якщо б вони не були в цьому місці проживання в ніч перепису. Глава сім'ї мав бу
ти записаний першим, а далі інші члени сім'ї. Форми, що використовувалися для територій, були спрощеною версіє
ю звичайного розкладу, і на території Юкон і Північно-Західних територіях було дозволено розпочати перепис д
о 1 червня."
S500039,"England Births and Christenings, 1538-1975",""
