Id,Husb,Wife,Children
F500127,I500338,I500340,I500354|I500443|I500571|I500359
F500128,I500339,I500342,I501059|I500343|I500412|I500433|I501027|I500422|I506754|I502680
F500129,I500346,I500347,I500401|I500410|I500350|I500364|I500380|I500906|I500387
F500130,I500348,I500349,I500347
F500131,I500351,I500352,I500395|I500353|I500381
F500132,I500354,I500355,I500356|I500555|I500379|I502326|I502256|I500411
F500133,I500357,I500358,I500315|I501620|I500355|I503562
F500134,I500360,I500359,I500542|I501457|I500384|I503539|I506950
F500135,I500361,I500362,I500428|I500360
F500136,I500365,I500366,I500559|I500383|I500570|I500406
F500137,I500367,I500368,I500366
F500138,I500370,I500371,I500372|I500382|I502248|I500390|I500418
F500139,I500373,I500374,I500371
F500140,I500343,I500375,I500513|I500539|I500376|I506529|I506743|I506933|I500419
F500141,I500388,I500392,I502250|I500391
F500142,I500393,I500394,I500392|I501092|I501156|I501262
F500143,I500395,I500397,I500396|I513266
F500144,I500398,I500399,I500898|I500894|I500397
F500145,I500401,I500403,I500402|I503243
F500146,I500404,I500405,I500444|I500446|I500528|I500901|I500976|I501004|I501609|I500403|I500876
F500148,I500412,I500414,I503410|I500417
F500149,I500415,I500416,I500414|I501068
F500150,I500420,I500421,I500375
F500151,I500422,I500423,I501475|I506534|I503533|I506778|I506951|I500424
F500152,I500425,I500426,I501748|I500192|I501770|I502590|I501794|I501833|I501863|I501498|I501962|I501974|I502002
F500153,I500429,I500428,I506444|I502310|I501274|I506520|I506753
F500154,I500430,I500431,I501218|I500456|I502139|I500429|I501500
F500155,I500434,I500433,I500435|I500510|I500538|I501409|I501374|I503236|I502264|I501526
F500156,I500436,I500437,I500434
F500157,I500439,I500438,I502272|I531893|I500440|I500890
F500158,I500441,I500442,I500439|I501464
F500159,I500444,I500443,I503997|I500445|I500541
F500160,I500447,I500446,I500450|I500511|I500537|I501361|I500525|I506674|I500887|I507024
F500161,I500448,I500449,I500451|I500447|I500489|I500500
F500162,I500451,I500452,I500453|I500518|I501278
F500164,I500457,I500456,I501342|I502161|I500460|I535121|I500522|I534094
F500165,I500458,I500459,I500457
F500166,I500462,I500465,I501593|I500461|I500494|I500512|I500554
F500167,I500463,I500464,I500398|I500340|I500462|I501613|I501022|I500480|I500475
F500168,I500466,I500467,I500465|I500497|I500485|I500470
F500170,I500470,I500471,I500474|I500514|I500543
F500171,I500472,I500473,I500471|I517580
F500172,I500476,I500475,I500477
F500173,I500478,I500479,I501951|I500978|I501742|I501793|I500476|I501087|I510951
F500174,I500480,I500481,I500484
F500175,I500482,I500483,I501379|I501210|I535025|I500481|I501223|I501668
F500176,I500485,I500486,I501107|I500487|I500515|I500891|I500892|I500560
F500177,I500489,I500490,I500491|I502225|I534118|I506627|I506747|I501619
F500178,I500492,I500493,I500561|I500544|I500490|I500505|I500556|I500893
F500180,I500497,I500498,I501368|I502177|I500499|I500519|I506466
F500181,I500500,I500501,I500504|I500523|I501260|I501481|I502317|I506776|I506949
F500182,I500502,I500503,I500501|I500970|I501493
F500183,I500506,I500505,I501125|I500507|I501142|I501194|I501259|I506496
F500184,I500508,I500432,I501277|I500509
F500185,I500516,I500517,I500486|I500526|I502270
F500186,I500520,I500521,I500498|I511206|I502021
F500187,I500526,I500528,I535125|I500527|I506459|I506533|I500886|I507000
F500189,I500532,I500531,I502094|I500888|I500535
F500190,I500533,I500534,I500532
F500191,I500544,I500545,I500548|I500904|I502243|I500896|I501534|I502424|I500564
F500192,I503545,I500547,I511474|I512862|I511683|I512905|I500545
F500193,I500550,I500549,I500553|I506576|I506765|I506940
F500194,I500551,I500552,I500550
F500195,I500557,I500556,I500558|I501414|I535027|I506605|I506826|I507007
F500196,I500561,I500562,I500563|I501417|I502404|I502249|I502267|I502405|I502403|I502407|I502406|I507757
F500197,I500444,I500566,I500567|I500969|I502252|I501553
F500198,I500568,I500569,I501041|I500566
F500199,I500572,I500571,I535089|I535072|I501347|I506542|I506732|I506917
F500201,I500574,I500575,I502671|I500576|I500583|I500582|I500584|I500585|I500586|I500590|I500593|I500597|I500600|I508953
F500202,I500577,I500578,I500574|I508542|I500615|I500579|I508526|I500581
F500204,I500579,I500588,I500587|I500589|I500591|I500592|I500596|I500599|I500616|I500602|I500715
F500205,I500615,I500594,I508578|I500627|I500595|I500598|I500601
F500206,I500592,I508911,I500618|I500604|I500634|I500640|I500667|I500679|I500696|I500697|I509694|I509738|I509856|I500014
F500207,I500605,I500586,I500606|I500619|I502737|I500638
F500210,I500610,I500611,I500605|I508483
F500211,I500612,I500590,""
F500212,I500613,I500614,I500612
F500213,I500595,I500620,I500621|I500623|I500662|I500637|I500639|I500666|I500678|I500698|I500714|I509705|I509756
F500214,"",I508483,I509214|I500625|I500633
F500216,I500629,I500627,I509199|I502927|I500630|I500830|I509342|I500672|I500691|I509845|I500687
F500217,I508854,I500593,I500632|I500635|I500677|I509767
F500218,I500636,I500644,I500849|I500794|I508596|I508837|I500620|I500681|I508940
F500221,I500645,I500599,""
F500222,I500646,I500647,I500645
F500223,I500648,I500649,I508555|I502763|I502765|I500631|I508598|I508842|I508854|I508899|I508919|I508944
F500226,I500654,I500597,I520693
F500227,I500655,I500656,I500654
F500229,I500658,I500659,I508597|I508844|I500765|I508347|I508524|I508931|I508969
F500230,I500596,I500661,I500660|I500663|I508339
F500231,I500598,I508958,I500665|I500674|I500695|I500713|I509789|I509876|I509945|I510008|I500747
F500232,I500605,I500668,I500669|I500676|I509448|I500709|I509752|I509792|I509892|I509929
F500233,I500622,I500670,I500792|I509088|I509137|I509139|I509146|I509285|I509373|I500671|I500688
F500234,I500673,I500684,I500664|I508958|I509023|I500803|I500825|I500810|I508964|I509367
F500235,I500675,I509550,I509635|I500668|I509551|I509829
F500236,I500680,I500602,I509770|I500690|I509702|I509788|I509872
F500237,I500681,I500683,I502970|I500682|I502936|I509434|I509451|I500710|I509762|I509873|I509940|I510001|I502712
F500238,I500685,I500686,I508582|I508831|I500629|I508890|I508912|I508936|I509412
F500239,I509287,I500693,I509213|I502830|I509243|I509286|I509415|I500694|I500692|I500706|I509766|I509835
F500243,I500705,I500704,I509021|I500702|I509032
F500244,I500707,I500708,I500693
F500245,I500711,I500712,I508833|I500683
F500246,I500715,I500716,I500717|I500748
F500247,I500621,I509211,I509962|I500720|I500819|I503012
F500249,I500723,I500619,I503048|I509979|I500724|I500829|I508450
F500250,I509261,I509425,I500728|I500763|I500809|I502964|I508488
F500251,I508843,I500730,I500736|I509212|I509231|I500731|I509372|I509425|I500814|I509776|I503043|I508420
F500252,I500732,I500731,I503054|I500733|I500762|I500806|I502914|I503001|I508505
F500253,I500734,I500735,I509066|I509080|I500804|I500732|I500754|I500749|I509583|I509697
F500254,I500736,I500737,I509875|I509946|I510013|I500738|I500761|I500813|I502951|I508456|I503440|I503441
F500255,I500739,I500740,I500737
F500256,I509055,I509198,I509759|I509787|I509882|I509944|I503034|I500743|I500789|I502926|I503024|I508489
F500257,I500744,I500745,I508951|I509025|I509054|I500716|I509218|I502804
F500258,I500746,"",I500594
F500259,I500750,I500749,I502790|I500751|I500808|I502953|I508491
F500260,I500752,I500753,I509062|I509078|I500768|I500750|I503013|I509381|I509417|I509631|I508423|I509852
F500261,I500634,I500754,I510010|I500755|I500802|I502979
F500262,I500640,I509432,I500759|I502869|I502919|I502978|I508454|I503439
F500264,I500764,I500604,I509857|I509902|I509956|I509987|I502665|I500767|I500835
F500265,I508589,I500766,I500764|I500769|I500797|I509384|I509446|I509632|I509721
F500266,I500768,I500769,I509913|I509964|I502781|I500770|I500807|I502974|I508451
F500267,I500771,I500773,I500730|I500772
F500268,I500774,I500772,I500775|I509234|I509256|I509369|I509416|I509427
F500269,I509256,I500776,I503038|I502791|I500777|I502915|I502993
F500270,I500778,I500779,I509990|I500780|I502961|I503020
F500271,I500781,I500782,I509019|I502794|I500783|I500723|I500820|I509260|I509382
F500272,I500783,I500784,I510006|I500787|I500788|I500828|I502941|I503006|I508418|I508501
F500273,I500785,I500786,I500784
F500275,I500793,I500792,I502738|I502916|I509724|I509768|I509886|I509981|I502711|I500796
F500276,I508988,I500795,I500793
F500277,I500797,I500798,I500801|I502963
F500278,I500799,I500800,I500798
F500279,I500803,I500804,I509737|I509791|I509906|I509992|I502713|I500805
F500280,I500811,I500810,I509963|I507111|I502714|I500812|I502962
F500281,I500815,I500814,I502725|I502829|I500818|I502950|I508453
F500282,I516055,I500817,I508902|I509007|I508457|I509011|I509022|I502833|I500815|I509087|I508966|I502799
F500283,I500820,I500821,I510015|I502715|I500824|I502977
F500284,I500822,I500823,I508591|I502905|I508360|I500766|I508949|I509014|I509043|I500821
F500285,I500825,I500826,I509894|I509955|I510025|I502721|I500827|I502985|I508480
F500286,I500831,I500830,I500834|I502973|I508507
F500287,I508815,I500833,I500831|I509589|I509689|I509754|I509866|I509943
F500288,I500836,I500245,I500244|I500841|I500842|I500246|I500843
F500289,I508862,I500839,I509132|I502732|I509144|I500245|I509379|I503029|I509647|I509783|I509896
F500290,I500840,I500837,I510369|I515895|I500836
F500292,I500244,I508476,I500846
F500294,I500850,I500852,""
F500295,I500851,I500853,I501647|I500854|I500855
F500296,I500846,I500857,I500858|I500856|I503609
F500297,I500859,I500858,I507744
F500299,I500860,I500861,I500859
F500300,I500862,I500863,I500866|I500933|I511407|I17|I501000|I500943|I500927
F500301,I500864,I500865,I500862
F500302,I500867,I500868,I500863
F500304,I500873,I500871,I501743|I500874|I501813|I500921|I501682|I501699|I501731
F500306,I500877,I500878,I500404|I500958|I510849|I503838|I500949
F500307,I501436,I500880,I500957|I500885|I501444|I500993|I500405|I501724|I500907|I501771|I501005|I501842
F500308,I500881,I500882,I500880
F500310,I500894,I500893,I502247|I500895|I500897
F500311,I500898,I500899,I500905|I502244|I502253|I500900
F500312,I500901,I500902,I500966|I506696|I502255|I500903
F500313,I500908,I500907,I502458
F500314,I500909,I500910,I500908|I502036
F500315,I500911,I500912,I173|I507464
F500316,I500913,I500914,I500042
F500318,I500917,I500918,I500358
F500319,I500919,I500920,I501496|I501837|I502089|I500357|I501134|I501014
F500320,I500921,I500922,I501857|I501942|I500931|I500925|I500981
F500321,I500923,I507471,I507477|I501894|I500922
F500322,I500926,I500994,I503784|I511376|I502486|I502487|I500873|I503075|I504032|I503079|I500995
F500323,I500927,I500928,I500932|I500975|I500991|I505511
F500324,I500929,I500930,I500928|I517160|I516867
F500325,I500934,I500940,I501982|I502001|I500935|I500956|I500983
F500326,I500936,I500938,""
F500327,I500939,I500933,I500934|I501714|I500984|I507530|I501279|I501835|I501866
F500328,I500941,I500942,I500940
